movies	years	ids	links	rates
Тюрьма Оз	1997	tt0118421	/title/tt0118421/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=C4BX97T609S23E6WD04F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_71	8.7
Драконий жемчуг Зет	1989	tt0121220	/title/tt0121220/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=C4BX97T609S23E6WD04F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_72	8.7
Западное крыло	1999	tt0200276	/title/tt0200276/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=C4BX97T609S23E6WD04F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_73	8.7
Драконий жемчуг Зет	1996	tt0214341	/title/tt0214341/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=C4BX97T609S23E6WD04F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_74	8.7
Врата Штейна	2011	tt1910272	/title/tt1910272/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=C4BX97T609S23E6WD04F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_75	8.7
Невероятная миссис Мэйзел	2017	tt5788792	/title/tt5788792/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=C4BX97T609S23E6WD04F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_76	8.7
"Я	 Клавдий"	1976	tt0074006	/title/tt0074006/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=C4BX97T609S23E6WD04F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_77	8.7
Лейла и Меджнун	2011	tt1831164	/title/tt1831164/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=C4BX97T609S23E6WD04F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_78	8.7
Сарабхай против Сарабхай	2004	tt1518542	/title/tt1518542/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=C4BX97T609S23E6WD04F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_79	8.7
Тайны миллиардера	2015	tt4299972	/title/tt4299972/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=12230b0e-0e00-43ed-9e59-8d5353703cce&pf_rd_r=C4BX97T609S23E6WD04F&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_80	8.7
